34,15,530,465,960,0,0,0
42,539,18,972,466,0,0,0
191,518,520,971,982,3,0,0
24,24,13,482,483,4,0,0
36,524,13,982,483,5,0,0
198,34,513,460,981,5,0,0
8,533,537,960,979,6,0,0
33,519,513,978,987,6,0,0
5,534,513,960,981,7,0,0
33,526,532,981,961,8,0,0
115,37,28,484,481,8,0,0
157,36,523,460,964,11,0,0
80,18,520,471,982,12,0,0
175,12,531,462,979,12,0,0
142,528,522,965,964,13,0,0
68,534,13,960,481,14,0,0
33,531,524,963,965,15,0,0
124,512,532,988,983,17,0,0
122,24,513,482,983,19,0,0
31,36,523,460,964,22,0,0
172,35,509,464,967,22,0,0
15,524,13,982,483,23,0,0
67,534,513,960,981,23,0,0
140,34,13,460,481,23,0,0
175,33,537,460,979,23,0,0
64,24,21,479,476,24,0,0
122,28,18,459,460,25,0,0
76,531,24,963,465,26,0,0
130,28,18,459,460,26,0,0
36,531,515,968,963,27,0,0
123,512,532,988,983,27,0,0
115,19,21,460,477,28,0,0
193,524,513,982,983,28,0,0
34,31,515,468,963,30,0,0
54,39,13,469,484,31,0,0
42,513,10,973,486,32,0,0
157,38,526,478,963,34,0,0
123,524,13,982,483,36,0,0
122,524,21,979,476,37,0,0
36,528,515,970,965,40,0,0
78,538,526,978,963,40,0,0
130,537,28,984,481,40,0,0
130,531,24,963,465,42,0,0
149,528,522,965,964,42,0,0
175,28,522,465,964,42,0,0
23,518,520,971,982,43,0,0
55,14,510,483,960,44,0,0
171,518,25,980,479,44,0,0
4,17,527,473,961,45,0,0
116,10,538,475,967,46,0,0
115,24,513,482,983,47,0,0
124,517,527,973,961,49,0,0
4,12,531,462,979,50,0,0
116,31,515,468,963,50,0,0
192,30,516,485,964,50,0,0
42,518,25,980,479,52,0,0
44,24,513,482,983,53,0,0
130,515,30,965,460,54,0,0
36,530,516,985,964,55,0,0
44,31,15,468,463,55,0,0
24,34,13,460,481,57,0,0
98,39,18,472,466,58,0,0
122,536,23,960,464,58,0,0
67,514,10,983,460,59,0,0
116,34,513,460,981,59,0,0
193,518,525,980,979,59,0,0
24,519,521,960,977,63,0,0
151,529,17,969,468,63,0,0
4,28,522,465,964,64,0,0
120,528,522,965,964,64,0,0
179,534,513,960,981,67,0,0
54,37,28,484,481,68,0,0
42,517,27,973,461,71,0,0
146,539,518,972,966,71,0,0
120,530,516,985,964,72,0,0
171,539,18,972,466,72,0,0
192,10,538,475,967,72,0,0
69,28,18,459,460,73,0,0
120,535,521,966,976,74,0,0
130,28,518,459,960,76,0,0
115,30,31,486,479,77,0,0
175,17,527,473,961,78,0,0
23,528,522,965,964,80,0,0
64,15,30,465,460,82,0,0
34,38,526,478,963,84,0,0
122,538,23,959,460,85,0,0
142,518,520,971,982,86,0,0
44,13,10,473,486,87,0,0
50,539,13,969,484,87,0,0
23,24,513,482,983,89,0,0
123,34,513,460,981,90,0,0
54,15,30,465,460,91,0,0
14,520,527,988,959,93,0,0
34,524,13,982,483,94,0,0
122,513,10,973,486,95,0,0
36,514,510,983,960,96,0,0
36,535,521,966,976,96,0,0
42,34,13,460,481,96,0,0
33,529,517,969,968,97,0,0
44,35,21,466,476,99,0,0
142,524,513,982,983,99,0,0
78,520,527,988,959,101,0,0
124,34,13,460,481,102,0,0
34,34,513,460,981,103,0,0
142,535,509,964,967,104,0,0
21,34,13,460,481,106,0,0
76,512,31,962,479,106,0,0
150,534,13,960,481,106,0,0
120,519,521,960,977,107,0,0
142,510,538,975,967,108,0,0
187,517,527,973,961,109,0,0
8,512,532,988,983,110,0,0
80,19,521,460,977,111,0,0
171,535,21,966,476,111,0,0
71,534,513,960,981,112,0,0
116,528,18,959,460,116,0,0
171,520,16,961,482,117,0,0
192,33,537,460,979,118,0,0
24,512,531,962,979,120,0,0
4,38,526,478,963,121,0,0
73,34,13,460,481,123,0,0
122,520,16,961,482,123,0,0
78,528,522,965,964,124,0,0
34,39,518,472,966,127,0,0
36,524,521,979,976,127,0,0
199,534,13,960,481,130,0,0
53,524,521,979,976,131,0,0
124,530,516,985,964,131,0,0
151,512,31,962,479,131,0,0
31,39,518,472,966,132,0,0
78,534,13,960,481,132,0,0
76,34,513,460,981,134,0,0
131,534,513,960,981,137,0,0
142,517,527,973,961,137,0,0
191,531,524,963,965,137,0,0
69,28,15,470,465,140,0,0
171,534,513,960,981,140,0,0
120,534,13,960,481,141,0,0
120,529,517,969,968,141,0,0
124,24,13,482,483,143,0,0
31,12,531,462,979,144,0,0
69,524,513,982,983,145,0,0
31,14,510,483,960,147,0,0
149,524,513,982,983,147,0,0
115,31,15,468,463,148,0,0
80,10,538,475,967,150,0,0
8,518,520,971,982,153,0,0
34,24,513,482,983,153,0,0
43,524,13,982,483,154,0,0
78,519,513,978,987,154,0,0
8,535,521,966,976,155,0,0
142,534,13,960,481,155,0,0
150,535,521,966,976,155,0,0
151,528,15,970,465,155,0,0
130,514,18,961,471,157,0,0
92,534,513,960,981,160,0,0
150,513,510,973,986,160,0,0
