33,519,513,978,987,0,0,0,0
115,37,28,484,481,3,0,0,3
42,539,18,972,466,6,0,0,3
24,24,13,482,483,10,0,0,4
8,533,537,960,979,13,0,0,3
33,526,532,981,961,16,0,0,3
198,34,513,460,981,17,0,0,1
191,518,520,971,982,20,0,0,3
34,15,530,465,960,23,0,0,3
36,524,13,982,483,26,0,0,3
5,534,513,960,981,29,0,0,3
15,524,13,982,483,32,0,0,3
142,528,522,965,964,35,0,0,3
68,534,13,960,481,38,0,0,3
122,24,513,482,983,41,0,0,3
33,531,524,963,965,44,0,0,3
175,12,531,462,979,45,0,0,1
31,36,523,460,964,48,0,0,3
172,35,509,464,967,51,0,0,3
157,36,523,460,964,54,0,0,3
80,18,520,471,982,57,0,0,3
124,512,532,988,983,60,0,0,3
115,19,21,460,477,63,0,0,3
67,534,513,960,981,64,0,0,1
36,531,515,968,963,67,0,0,3
193,524,513,982,983,70,0,0,3
140,34,13,460,481,73,0,0,3
175,33,537,460,979,76,0,0,3
130,28,18,459,460,79,0,0,3
123,512,532,988,983,82,0,0,3
122,28,18,459,460,85,0,0,3
76,531,24,963,465,88,0,0,3
64,24,21,479,476,91,0,0,3
130,537,28,984,481,94,0,0,3
78,538,526,978,963,97,0,0,3
130,531,24,963,465,100,0,0,3
42,513,10,973,486,103,0,0,3
157,38,526,478,963,104,0,0,1
123,524,13,982,483,105,0,0,1
54,39,13,469,484,108,0,0,3
36,528,515,970,965,111,0,0,3
149,528,522,965,964,113,0,0,2
34,31,515,468,963,116,0,0,3
122,524,21,979,476,117,0,0,1
4,17,527,473,961,120,0,0,3
115,24,513,482,983,123,0,0,3
116,31,515,468,963,126,0,0,3
175,28,522,465,964,129,0,0,3
124,517,527,973,961,130,0,0,1
55,14,510,483,960,131,0,0,1
23,518,520,971,982,134,0,0,3
4,12,531,462,979,137,0,0,3
171,518,25,980,479,139,0,0,2
116,10,538,475,967,142,0,0,3
192,30,516,485,964,143,0,0,1
44,24,513,482,983,146,0,0,3
44,31,15,468,463,149,0,0,3
130,515,30,965,460,152,0,0,3
122,536,23,960,464,154,0,0,2
116,34,513,460,981,155,0,0,1
36,530,516,985,964,156,0,0,1
24,34,13,460,481,157,0,0,1
42,518,25,980,479,158,0,0,1
98,39,18,472,466,159,0,0,1
193,518,525,980,979,162,0,0,3
67,514,10,983,460,163,0,0,1
179,534,513,960,981,166,0,0,3
171,539,18,972,466,169,0,0,3
42,517,27,973,461,170,0,0,1
146,539,518,972,966,171,0,0,1
4,28,522,465,964,174,0,0,3
192,10,538,475,967,176,0,0,2
120,530,516,985,964,177,0,0,1
151,529,17,969,468,180,0,0,3
54,37,28,484,481,184,0,0,4
120,528,522,965,964,185,0,0,1
24,519,521,960,977,185,0,0,0
122,538,23,959,460,188,0,0,3
44,13,10,473,486,189,0,0,1
64,15,30,465,460,190,0,0,1
23,528,522,965,964,191,0,0,1
69,28,18,459,460,192,0,0,1
130,28,518,459,960,195,0,0,3
120,535,521,966,976,198,0,0,3
175,17,527,473,961,199,0,0,1
34,38,526,478,963,200,0,0,1
142,518,520,971,982,201,0,0,1
115,30,31,486,479,202,0,0,1
34,524,13,982,483,203,0,0,1
42,34,13,460,481,206,0,0,3
36,514,510,983,960,209,0,0,3
54,15,30,465,460,210,0,0,1
33,529,517,969,968,211,0,0,1
123,34,513,460,981,212,0,0,1
36,535,521,966,976,215,0,0,3
122,513,10,973,486,215,0,0,0
23,24,513,482,983,216,0,0,1
50,539,13,969,484,219,0,0,3
14,520,527,988,959,222,0,0,3
44,35,21,466,476,225,0,0,3
124,34,13,460,481,226,0,0,1
78,520,527,988,959,229,0,0,3
142,535,509,964,967,231,0,0,2
150,534,13,960,481,232,0,0,1
142,524,513,982,983,235,0,0,3
76,512,31,962,479,236,0,0,1
120,519,521,960,977,237,0,0,1
21,34,13,460,481,237,0,0,0
34,34,513,460,981,241,0,0,4
142,510,538,975,967,242,0,0,1
24,512,531,962,979,242,0,0,0
71,534,513,960,981,244,0,0,2
187,517,527,973,961,247,0,0,3
80,19,521,460,977,252,0,0,5
192,33,537,460,979,253,0,0,1
171,535,21,966,476,254,0,0,1
171,520,16,961,482,255,0,0,1
73,34,13,460,481,255,0,0,0
116,528,18,959,460,258,0,0,3
8,512,532,988,983,261,0,0,3
4,38,526,478,963,262,0,0,1
124,530,516,985,964,263,0,0,1
53,524,521,979,976,264,0,0,1
199,534,13,960,481,267,0,0,3
36,524,521,979,976,270,0,0,3
151,512,31,962,479,271,0,0,1
31,39,518,472,966,272,0,0,1
34,39,518,472,966,273,0,0,1
78,534,13,960,481,274,0,0,1
78,528,522,965,964,277,0,0,3
76,34,513,460,981,278,0,0,1
122,520,16,961,482,281,0,0,3
69,524,513,982,983,282,0,0,1
31,12,531,462,979,285,0,0,3
191,531,524,963,965,286,0,0,1
171,534,513,960,981,287,0,0,1
69,28,15,470,465,290,0,0,3
131,534,513,960,981,291,0,0,1
120,534,13,960,481,294,0,0,3
120,529,517,969,968,297,0,0,3
31,14,510,483,960,298,0,0,1
